SiteName;position;V;N;Stock
The Gorge;880;-56,707344;47,640852;2,5
Recontre Bay;880;-56,682263;47,623127;2,5
Little Bay;880;-56,665982;47,628673;2,5
Mare Cove South;872;-56,5197;47,6617;2,5
North Bob Locke Cove;872;-56,518833;47,644323;2,5
Devil Bay;872;-56,518768;47,644286;2,5
Dennis Arm;857;-56,334748;47,67523;2,5
Indian Tea Point;857;-56,3274;47,7313;2,5
Wild Cove;857;-56,31906;47,646606;2,5
Wallace Cove;857;-56,318867;47,715633;2,5
Herring Cove;850;-56,2218;47,66;1,5
Killbuck Cove;850;-56,2197;47,6495;1,75
Manuel Arm;842;-56,1781;47,6779;2,25
Sugarloaf;842;-56,1625;47,7276;1,75
Pass My Can;842;-56,1569;47,6682;2,5
Jervis Island;842;-56,136221;47,655673;2,5
Goblin Bay;842;-56,112804;47,705724;2,5
Pot Harbour;842;-56,0884;47,7208;0,651275
Butter Cove;842;-56,056817;47,67648;2,5
Northwest Cove;842;-55,9585;47,7659;2,0395675
Grip Cove;827;-55,9166;47,6413;1,5
Seal Cove;827;-55,9068;47,6373;1,5466475
The Matchems;827;-55,8913;47,6328;1,75
Robin Hood Cove;827;-55,8785;47,6251;2,168605
Green Point;827;-55,8222;47,6223;1,231205
Lou Cove;842;-55,8143;47,8706;0,3451975
Broad Cove;742;-55,7734;47,5077;1,375
Harvey Hill East;742;-55,7562;47,5385;1,56
Harvey Hill North;742;-55,7468;47,561;1,17
Olive Cove;827;-55,7353;47,6446;2,16621
Murphy Point;733;-55,7041;47,498;2,287455
Dog Cove;727;-55,6258;47,5362;1,25
Salmonier Cove;727;-55,5953;47,5132;1,502025
Spyglass Cove;670;-55,4711;47,6266;1,125635
Cinq Island Cove;670;-55,4638;47,6349;1,625
Tilt Point;670;-55,4515;47,6431;1,3250325
Spoon Cove;670;-55,4382;47,7013;1,125
Steamer Head;670;-55,4315;47,6915;1,640745
Chapel Island (Ironskull);676;-55,4032;47,5681;1,4440975
Ironskull Point;676;-55,4032;47,5681;1,375
Hickman's Point;670;-55,3961;47,7154;1,125
Magrath Cove North;670;-55,3794;47,6639;1,625
Magrath Cove South;670;-55,3699;47,6594;1,207155
Southeast Bight;670;-55,3612;47,7095;0,0138425
Old Woman's Cove;665;-55,3317;47,6727;1,4635875
Deep Water Point;658;-55,2377;47,6532;1,5
Little Burdock Cove;656;-55,234;47,6383;1,25
Rencontre Island;655;-55,2165;47,6322;1,4177875
The Hobby;652;-55,1493;47,6439;1,25
Foshie Cove;652;-55,1368;47,6613;2,4466725
Oderin Island;382;-54,859348;47,299114;5
Long Island;372;-54,69999;47,328782;5
Gallows Harbour;372;-54,695048;47,358312;5
Valen Island;335;-54,38872;47,524705;5
Chamber Island;327;-54,352185;47,57953;5
Ship Island;320;-54,279623;47,648728;5
Darby Harbour;270;-54,183501;47,48067;5
Red Island;270;-54,147927;47,540381;5
Butler Island;270;-54,115789;47,570632;5
Iona Island;250;-53,975757;47,409004;5
Brine Island;255;-53,967328;47,446367;5
