riverName;V;N;dist;Stock.Size;sizeCategory
Bear Cove Brook;-59,30604;47,660795;1100;341,76;7
Little Codroy River;-59,268166;47,768685;1110;107;7
Barachois River;-59,255018;47,632445;1095;341,76;7
Grand Bay River;-59,155981;47,602583;1085;368,4;7
Isle aux Morts River;-59,003981;47,587743;1070;303,08;7
Grandys Brook;-58,847577;47,610601;1060;453,42;10
Rose Blanche Brook;-58,701761;47,615947;1050;461,43;10
Farmers Brook;-58,501033;47,664202;1030;461,43;10
La Poile River;-58,32;47,8;1020;761,08;12
Cinq Cerf Brook;-58,152386;47,70304;1000;416,45;7
Couteau Brook;-58,027812;47,740049;997;336,66;7
Grandy Brook;-57,6861;47,683428;970;759,18;12
Kings Harbour Brook;-57,57962;47,645228;957;356,61;7
Bay de Loup River;-57,518181;47,661429;957;303,08;7
White Bear River;-57,27;47,78;942;1012,29;12
Grey River;-56,997675;47,694318;920;453,42;10
Dollard's River;-56,59834;47,74124;872;303,84;7
Bottom Brook;-56,32947;47,79517;857;302,32;7
Allan's Cove Brook;-56,285752;47,701097;857;315,46;7
D'Espoir Brook;-56,169864;47,873676;842;301,57;7
Piercey's Brook;-55,864694;46,88135;485;427,1;10
Tailrace Brook;-55,79359;47,99025;842;345,89;7
Lamaline River;-55,77597;46,87587;478;450,03;10
Grand Bank Brook;-55,76194;47,08999;532;387,3;7
Southeast Brook;-55,73739;47,92489;842;438,91;10
Taylor Bay Brook (Placentia);-55,716132;46,880534;472;407,17;7
Little River;-55,6856;47,85715;842;313,89;7
Conne River;-55,67808;47,92351;842;862,51;12
Taylor Bay Brook (Fortune Bay);-55,64634;47,56526;727;341,76;7
Old Brook;-55,58852;47,59332;727;341,76;7
Lawn River;-55,541481;46,946559;463;417,49;7
Simm's Brook;-55,47746;47,67157;675;315,46;7
Bay du Nord River;-55,4392;47,74238;670;358,39;7
Northwest River;-55,39618;47,7473;670;303,84;7
Northeast River;-55,35818;47,73834;670;536,17;10
Garnish River;-55,33423;47,2198;567;448,5;10
Northwest Brook (Mortier Bay);-55,24618;47,168604;422;438,91;10
Tides Brook ;-55,231244;47,138559;425;461,43;10
Big Salmonier Brook;-55,214777;47,059755;430;377,73;7
Rencontre Brook;-55,206146;47,637077;657;320,23;7
Mal Bay Brook;-55,117;47,70057;657;297,08;7
Red Harbour River West;-55,004096;47,293414;395;328,35;7
Red Harbour River East;-54,996794;47,300453;395;324,51;7
Long Harbour River;-54,94431;47,82589;642;1027,6;12
Rushoon River;-54,91714;47,354859;388;407,17;7
Bay de L'Eau River;-54,786369;47,432986;385;549,76;10
Grand Le Pierre River;-54,78349;47,69665;628;294,12;7
Cape Roger Brook;-54,70855;47,423;376;461,43;10
Terrenceville River;-54,65289;47,69819;628;321,84;7
Nonsuch River;-54,649824;47,442396;374;377,73;7
Sandy Harbour River;-54,329154;47,693009;320;306,9;7
Pipers Hole River;-54,27588;47,921636;305;353,05;7
Black River;-54,167762;47,881033;300;315,46;7
Cuslett Brook;-54,167687;46,956209;195;341,76;7
North Harbour River;-54,078475;47,880855;295;397,11;7
Lance River;-54,070785;46,808393;185;387,3;7
Great Barasway Brook;-54,066313;47,12766;217;397,11;7
Little Barasway Brook;-54,041584;47,181938;222;368,4;7
Come by Chance River;-53,990024;47,845445;292;428,07;10
Branch River;-53,950531;46,880219;155;497,4;10
Southeast Placentia River;-53,910215;47,219938;230;485,11;10
Fair Haven Brook;-53,89227;47,54051;280;290,68;7
Ship Harbour Brook;-53,875313;47,350889;242;387,3;7
Red Head River;-53,867122;46,947799;145;294,12;7
Northeast Placentia River;-53,846453;47,27091;232;782,67;12
Little Barachois River;-53,797834;47,017304;135;297,08;7
Big Barachois River;-53,775362;47,049507;132;377,73;7
Little Salmonier River;-53,750008;47,037515;132;638,81;12
North Harbour River second;-53,633911;47,177883;124;17;7
Colinet River;-53,551727;47,218234;118;510;10
Crossing Place River;-53,463488;46,930494;70;334,15;7
Salmonier River;-53,443737;47,168658;118;549,76;10
Northwest Brook (Trepassy);-53,388678;46,757024;22;530,83;10
Northeast Brook (Trepassy) second;-53,35;46,766667;22;63,66;7
Biscay Bay River;-53,282324;46,7729;18;1276,17;12
Renews River;-52,954169;46,93333;-40;377,73;7
